0:0:0:0:0:0:0:1 - - [14/May/2024:20:39:02 +0700] "GET /demo/categories HTTP/1.1" 200 1325
0:0:0:0:0:0:0:1 - - [14/May/2024:20:39:10 +0700] "GET /demo/categories?action=createGet HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [14/May/2024:20:39:13 +0700] "POST /demo/categories?action=createPost HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2024:20:39:13 +0700] "GET /demo/categories HTTP/1.1" 200 1467
0:0:0:0:0:0:0:1 - - [14/May/2024:20:39:31 +0700] "GET /demo/categories?action=updateGet&id=4 HTTP/1.1" 200 1243
0:0:0:0:0:0:0:1 - - [14/May/2024:20:39:36 +0700] "POST /demo/categories?action=updatePost HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2024:20:39:36 +0700] "GET /demo/categories HTTP/1.1" 200 1467
0:0:0:0:0:0:0:1 - - [14/May/2024:20:40:15 +0700] "GET /demo/categories HTTP/1.1" 200 1467
0:0:0:0:0:0:0:1 - - [14/May/2024:20:40:16 +0700] "GET /demo/categories?action=updateGet&id=4 HTTP/1.1" 200 1243
0:0:0:0:0:0:0:1 - - [14/May/2024:20:40:24 +0700] "GET /demo/categories HTTP/1.1" 200 1467
0:0:0:0:0:0:0:1 - - [14/May/2024:20:40:25 +0700] "GET /demo/categories?action=updateGet&id=4 HTTP/1.1" 200 1243
0:0:0:0:0:0:0:1 - - [14/May/2024:20:40:27 +0700] "POST /demo/categories?action=updatePost HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2024:20:40:27 +0700] "GET /demo/categories HTTP/1.1" 200 1465
0:0:0:0:0:0:0:1 - - [14/May/2024:20:40:29 +0700] "GET /demo/categories?action=updateGet&id=4 HTTP/1.1" 200 1241
0:0:0:0:0:0:0:1 - - [14/May/2024:20:40:32 +0700] "POST /demo/categories?action=updatePost HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2024:20:40:32 +0700] "GET /demo/categories HTTP/1.1" 200 1471
0:0:0:0:0:0:0:1 - - [14/May/2024:20:45:23 +0700] "GET /demo/products HTTP/1.1" 200 1328
0:0:0:0:0:0:0:1 - - [14/May/2024:20:45:25 +0700] "GET /demo/products?action=createGet HTTP/1.1" 200 2058
0:0:0:0:0:0:0:1 - - [14/May/2024:20:45:36 +0700] "POST /demo/products?action=createPost HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2024:20:45:36 +0700] "GET /demo/products HTTP/1.1" 200 1686
0:0:0:0:0:0:0:1 - - [14/May/2024:20:45:36 +0700] "GET /demo/1 HTTP/1.1" 404 683
